UtilityCaptive,State,Sector,EnergySource,EnergySourceType,YearValue,Generation_GWh,PLF_Percent
UTILITY,JHARKHAND,UTILITY-RE,WASTE,RENEWABLE,2013,0,0
UTILITY,JHARKHAND,UTILITY-RE,SOLAR,RENEWABLE,2013,19.541,0
UTILITY,JHARKHAND,UTILITY-RE,SMALL HYDRO,RENEWABLE,2014,0,0
UTILITY,JHARKHAND,UTILITY-RE,WIND,RENEWABLE,2014,0,0
UTILITY,JHARKHAND,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2014,0,0
UTILITY,JHARKHAND,UTILITY-RE,WASTE,RENEWABLE,2014,0,0
UTILITY,JHARKHAND,UTILITY-RE,SOLAR,RENEWABLE,2014,19.541,0
CAPTIVE,JHARKHAND,CAPTIVE,SOLAR,RENEWABLE,2014,0,0
CAPTIVE,JHARKHAND,CAPTIVE,WIND,RENEWABLE,2014,0,0
UTILITY,JHARKHAND,UTILITY-RE,SMALL HYDRO,RENEWABLE,2015,0,0
UTILITY,JHARKHAND,UTILITY-RE,WIND,RENEWABLE,2015,0,0
UTILITY,JHARKHAND,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2015,0,0
UTILITY,JHARKHAND,UTILITY-RE,WASTE,RENEWABLE,2015,0,0
UTILITY,JHARKHAND,UTILITY-RE,SOLAR,RENEWABLE,2015,19.541,0
